#General information: Fraunhofer ISE  reserves the right not to be responsible for the topicality, correctness, completeness or quality of the information provided. Liability claims regarding damage caused by the use of any information provided, including any kind of information which is incomplete or incorrect,will therefore be rejected.
#file_info: --- Simulated load profile with synPRO --- number of occupants: 4 --- socioeconomic factor: EFH --- climate region: TRY2010_4_Jahr.dat --- total energy demand: 149.596275030235 ---  Building TypeSFH_1 ---  --- For more information contact D.Fischer, David.Fischer@ise.fraunhofer.de
#time resolution: 15Min
#col_no;col_name;unit;category;comment
#001;YYYYMMDD;0;time;Date [human readable]
#002;hhmmss;0;time;Time [human readable]
#003;unixtimestamp;s;time;Elapsed seconds from 01-01-1970
#004;Q_htg;W;power;heating demand for space heating
#005;t_room;°C;temperature;room temperature
#006;t_amb;°C;temperature;ambient temperature
#007;heating_on;-;-;Value, which provides under-use of the heating temperature limit and the average outdoor temperature, the starting and shutdown signal for the heating system
#008;P_pvn;W/Wp;specific power;specific power of an PV-plant, which has an optimal slope and oriented to south
#009;simulated building	;SFH_1
#010;set point temperature heating day [°C];20
#011;set point temperature heating night [°C];20
#012;set point temperature cooling [°C];26
#013;orientation of the building [°];0
#014;climate region	;TRY2010_4_Jahr.dat
#015;number of houses	;1
YYYYMMDD;hhmmss;unixtimestamp;Q_htg;t_room;t_amb;heating_on
20150101;61500;1420089300;10101,4;20,025;-1,875;1
20150101;63000;1420090200;10097,9;20,05;-1,75;1
20150101;64500;1420091100;10094,5;20,075;-1,625;1
20150101;70000;1420092000;10091;20,1;-1,5;1
20150101;71500;1420092900;10066,6;20,15;-1,425;1
20150101;73000;1420093800;10042,3;20,2;-1,35;1
20150101;74500;1420094700;10018;20,25;-1,275;1
20150101;80000;1420095600;9993,62;20,3;-1,2;1
20150101;81500;1420096500;9933,22;20,325;-1,05;1
20150101;83000;1420097400;9872,81;20,35;-0,9;1
20150101;84500;1420098300;9812,41;20,375;-0,75;1
20150101;90000;1420099200;9752,01;20,4;-0,6;1
20150101;91500;1420100100;9738,1;20,45;-0,425;1
20150101;93000;1420101000;9724,19;20,5;-0,25;1
20150101;94500;1420101900;9710,28;20,55;-0,075;1
20150101;100000;1420102800;9696,37;20,6;0,1;1
20150101;101500;1420103700;9618,58;20,6;0,2;1
20150101;103000;1420104600;9540,79;20,6;0,3;1
20150101;104500;1420105500;9463;20,6;0,4;1
20150101;110000;1420106400;9385,22;20,6;0,5;1
20150101;111500;1420107300;9289,33;20,55;0,475;1
20150101;113000;1420108200;9193,45;20,5;0,45;1
20150101;114500;1420109100;9097,56;20,45;0,425;1
20150101;120000;1420110000;9001,68;20,4;0,4;1
20150101;121500;1420110900;9028,49;20,45;0,525;1
20150101;123000;1420111800;9055,3;20,5;0,65;1
20150101;124500;1420112700;9082,12;20,55;0,775;1
20150101;130000;1420113600;9108,93;20,6;0,9;1
20150101;131500;1420114500;8976,91;20,55;0,975;1
20150101;133000;1420115400;8844,89;20,5;1,05;1
20150101;134500;1420116300;8712,87;20,45;1,125;1
20150101;140000;1420117200;8580,85;20,4;1,2;1
20150101;141500;1420118100;8483,97;20,35;1,275;1
20150101;143000;1420119000;8387,09;20,3;1,35;1
20150101;144500;1420119900;8290,21;20,25;1,425;1
20150101;150000;1420120800;8193,33;20,2;1,5;1
20150101;151500;1420121700;8235,28;20,25;1,55;1
20150101;153000;1420122600;8277,24;20,3;1,6;1
20150101;154500;1420123500;8319,2;20,35;1,65;1
20150101;160000;1420124400;8361,15;20,4;1,7;1
20150101;161500;1420125300;8600,44;20,6;1,725;1
20150101;163000;1420126200;8839,73;20,8;1,75;1
20150101;164500;1420127100;9079,03;21;1,775;1
20150101;170000;1420128000;9318,32;21,2;1,8;1
20150101;171500;1420128900;9381,94;21,3;1,75;1
20150101;173000;1420129800;9445,55;21,4;1,7;1
20150101;174500;1420130700;9509,17;21,5;1,65;1
20150101;180000;1420131600;9572,79;21,6;1,6;1
20150101;181500;1420132500;9425,17;21,6;1,65;1
20150101;183000;1420133400;9277,54;21,6;1,7;1
20150101;184500;1420134300;9129,92;21,6;1,75;1
20150101;190000;1420135200;8982,29;21,6;1,8;1
20150101;191500;1420136100;8840,44;21,5;1,8;1
20150101;193000;1420137000;8698,59;21,4;1,8;1
20150101;194500;1420137900;8556,74;21,3;1,8;1
20150101;200000;1420138800;8414,9;21,2;1,8;1
20150101;201500;1420139700;8292,9;21,1;1,775;1
20150101;203000;1420140600;8170,91;21;1,75;1
20150101;204500;1420141500;8048,91;20,9;1,725;1
20150101;210000;1420142400;7926,91;20,8;1,7;1
20150101;211500;1420143300;7936,95;20,8;1,75;1
20150101;213000;1420144200;7946,99;20,8;1,8;1
20150101;214500;1420145100;7957,03;20,8;1,85;1
20150101;220000;1420146000;7967,07;20,8;1,9;1
20150101;221500;1420146900;7902,65;20,7;1,85;1
20150101;223000;1420147800;7838,22;20,6;1,8;1
20150101;224500;1420148700;7773,8;20,5;1,75;1
20150101;230000;1420149600;7709,38;20,4;1,7;1
20150101;231500;1420150500;7647,52;20,3;1,775;1
20150101;233000;1420151400;7585,67;20,2;1,85;1
20150101;234500;1420152300;7523,81;20,1;1,925;1
20150102;0;1420153200;7461,95;20;2;1
20150102;1500;1420154100;7517,92;20;2,15;1
20150102;3000;1420155000;7573,89;20;2,3;1
20150102;4500;1420155900;7629,86;20;2,45;1
20150102;10000;1420156800;7685,82;20;2,6;1
20150102;11500;1420157700;7712,46;20;2,6;1
20150102;13000;1420158600;7739,1;20;2,6;1
20150102;14500;1420159500;7765,73;20;2,6;1
20150102;20000;1420160400;7792,37;20;2,6;1
20150102;21500;1420161300;7829,32;20;2,525;1
20150102;23000;1420162200;7866,26;20;2,45;1
20150102;24500;1420163100;7903,2;20;2,375;1
20150102;30000;1420164000;7940,15;20;2,3;1
20150102;31500;1420164900;7963,36;20;2,3;1
20150102;33000;1420165800;7986,57;20;2,3;1
20150102;34500;1420166700;8009,79;20;2,3;1
20150102;40000;1420167600;8033;20;2,3;1
20150102;41500;1420168500;8057,94;20;2,225;1
20150102;43000;1420169400;8082,87;20;2,15;1
20150102;44500;1420170300;8107,81;20;2,075;1
20150102;50000;1420171200;8132,75;20;2;1
20150102;51500;1420172100;8151,26;20;1,9;1
20150102;53000;1420173000;8169,78;20;1,8;1
20150102;54500;1420173900;8188,3;20;1,7;1
20150102;60000;1420174800;8206,81;20;1,6;1
20150102;61500;1420175700;8164,53;20,025;1,65;1
20150102;63000;1420176600;8122,25;20,05;1,7;1
20150102;64500;1420177500;8079,98;20,075;1,75;1
20150102;70000;1420178400;8037,7;20,1;1,8;1
20150102;71500;1420179300;8036,98;20,125;1,725;1
20150102;73000;1420180200;8036,27;20,15;1,65;1
20150102;74500;1420181100;8035,56;20,175;1,575;1
20150102;80000;1420182000;8034,85;20,2;1,5;1
20150102;81500;1420182900;7960,2;20,2;1,575;1
20150102;83000;1420183800;7885,55;20,2;1,65;1
20150102;84500;1420184700;7810,9;20,2;1,725;1
20150102;90000;1420185600;7736,25;20,2;1,8;1
20150102;91500;1420186500;7626,1;20,2;1,85;1
20150102;93000;1420187400;7515,94;20,2;1,9;1
20150102;94500;1420188300;7405,78;20,2;1,95;1
20150102;100000;1420189200;7295,62;20,2;2;1
20150102;101500;1420190100;7065,52;20,15;1,85;1
20150102;103000;1420191000;6835,42;20,1;1,7;1
20150102;104500;1420191900;6605,32;20,05;1,55;1
20150102;110000;1420192800;6375,23;20;1,4;1
20150102;111500;1420193700;6431,68;20,05;1,3;1
20150102;113000;1420194600;6488,13;20,1;1,2;1
20150102;114500;1420195500;6544,59;20,15;1,1;1
20150102;120000;1420196400;6601,04;20,2;1;1
20150102;121500;1420197300;6424,04;20,15;0,875;1
20150102;123000;1420198200;6247,05;20,1;0,75;1
20150102;124500;1420199100;6070,05;20,05;0,625;1
20150102;130000;1420200000;5893,05;20;0,5;1
20150102;131500;1420200900;6000,66;20,05;0,3;1
20150102;133000;1420201800;6108,27;20,1;0,1;1
20150102;134500;1420202700;6215,87;20,15;-0,1;1
20150102;140000;1420203600;6323,48;20,2;-0,3;1
20150102;141500;1420204500;6727,25;20,2;-0,65;1
20150102;143000;1420205400;7131,01;20,2;-1;1
20150102;144500;1420206300;7534,78;20,2;-1,35;1
20150102;150000;1420207200;7938,55;20,2;-1,7;1
20150102;151500;1420208100;7930,74;20,15;-1,75;1
20150102;153000;1420209000;7922,94;20,1;-1,8;1
20150102;154500;1420209900;7915,13;20,05;-1,85;1
20150102;160000;1420210800;7907,33;20;-1,9;1
20150102;161500;1420211700;8208,24;20;-2,075;1
20150102;163000;1420212600;8509,16;20;-2,25;1
20150102;164500;1420213500;8810,08;20;-2,425;1
20150102;170000;1420214400;9111;20;-2,6;1
20150102;171500;1420215300;9259,37;20;-2,9;1
20150102;173000;1420216200;9407,74;20;-3,2;1
20150102;174500;1420217100;9556,11;20;-3,5;1
20150102;180000;1420218000;9704,48;20;-3,8;1
20150102;181500;1420218900;9856,86;20,1;-3,95;1
20150102;183000;1420219800;10009,2;20,2;-4,1;1
20150102;184500;1420220700;10161,6;20,3;-4,25;1
20150102;190000;1420221600;10314;20,4;-4,4;1
20150102;191500;1420222500;10399,6;20,4;-4,45;1
20150102;193000;1420223400;10485,3;20,4;-4,5;1
20150102;194500;1420224300;10571;20,4;-4,55;1
20150102;200000;1420225200;10656,6;20,4;-4,6;1
20150102;201500;1420226100;10698,7;20,4;-4,6;1
20150102;203000;1420227000;10740,7;20,4;-4,6;1
20150102;204500;1420227900;10782,8;20,4;-4,6;1
20150102;210000;1420228800;10824,9;20,4;-4,6;1
20150102;211500;1420229700;10743,8;20,3;-4,7;1
20150102;213000;1420230600;10662,8;20,2;-4,8;1
20150102;214500;1420231500;10581,8;20,1;-4,9;1
20150102;220000;1420232400;10500,8;20;-5;1
20150102;221500;1420233300;10612,6;20;-5,15;1
20150102;223000;1420234200;10724,4;20;-5,3;1
20150102;224500;1420235100;10836,2;20;-5,45;1
20150102;230000;1420236000;10948;20;-5,6;1
20150102;231500;1420236900;11027,7;20;-5,65;1
20150102;233000;1420237800;11107,3;20;-5,7;1
20150102;234500;1420238700;11186,9;20;-5,75;1
20150103;0;1420239600;11266,5;20;-5,8;1
20150103;1500;1420240500;11349,3;20;-5,95;1
20150103;3000;1420241400;11432;20;-6,1;1
20150103;4500;1420242300;11514,7;20;-6,25;1
20150103;10000;1420243200;11597,4;20;-6,4;1
20150103;11500;1420244100;11645,6;20;-6,425;1
20150103;13000;1420245000;11693,7;20;-6,45;1
20150103;14500;1420245900;11741,9;20;-6,475;1
20150103;20000;1420246800;11790;20;-6,5;1
20150103;21500;1420247700;11875,2;20;-6,675;1
20150103;23000;1420248600;11960,4;20;-6,85;1
20150103;24500;1420249500;12045,6;20;-7,025;1
20150103;30000;1420250400;12130,8;20;-7,2;1
20150103;31500;1420251300;12197;20;-7,275;1
20150103;33000;1420252200;12263,1;20;-7,35;1
20150103;34500;1420253100;12329,2;20;-7,425;1
20150103;40000;1420254000;12395,3;20;-7,5;1
20150103;41500;1420254900;12457,6;20,025;-7,55;1
20150103;43000;1420255800;12519,8;20,05;-7,6;1
20150103;44500;1420256700;12582,1;20,075;-7,65;1
20150103;50000;1420257600;12644,3;20,1;-7,7;1
20150103;51500;1420258500;12626,2;20,075;-7,65;1
20150103;53000;1420259400;12608,1;20,05;-7,6;1
20150103;54500;1420260300;12590;20,025;-7,55;1
20150103;60000;1420261200;12571,9;20;-7,5;1
20150103;61500;1420262100;12577,6;20;-7,55;1
20150103;63000;1420263000;12583,2;20;-7,6;1
20150103;64500;1420263900;12588,9;20;-7,65;1
20150103;70000;1420264800;12594,5;20;-7,7;1
20150103;71500;1420265700;12445,1;20,025;-7,6;1
20150103;73000;1420266600;12295,7;20,05;-7,5;1
20150103;74500;1420267500;12146,3;20,075;-7,4;1
20150103;80000;1420268400;11996,8;20,1;-7,3;1
20150103;81500;1420269300;11837,5;20,125;-7,075;1
20150103;83000;1420270200;11678,1;20,15;-6,85;1
20150103;84500;1420271100;11518,7;20,175;-6,625;1
20150103;90000;1420272000;11359,3;20,2;-6,4;1
20150103;91500;1420272900;11046,6;20,2;-6,1;1
20150103;93000;1420273800;10734;20,2;-5,8;1
20150103;94500;1420274700;10421,3;20,2;-5,5;1
20150103;100000;1420275600;10108,6;20,2;-5,2;1
20150103;101500;1420276500;10017,1;20,15;-4,925;1
20150103;103000;1420277400;9925,47;20,1;-4,65;1
20150103;104500;1420278300;9833,89;20,05;-4,375;1
20150103;110000;1420279200;9742,3;20;-4,1;1
20150103;111500;1420280100;9726,7;20,05;-3,825;1
20150103;113000;1420281000;9711,1;20,1;-3,55;1
20150103;114500;1420281900;9695,5;20,15;-3,275;1
20150103;120000;1420282800;9679,9;20,2;-3;1
20150103;121500;1420283700;9510,1;20,2;-3,15;1
20150103;123000;1420284600;9340,29;20,2;-3,3;1
20150103;124500;1420285500;9170,48;20,2;-3,45;1
20150103;130000;1420286400;9000,68;20,2;-3,6;1
20150103;131500;1420287300;9022,6;20,2;-3,675;1
20150103;133000;1420288200;9044,52;20,2;-3,75;1
20150103;134500;1420289100;9066,44;20,2;-3,825;1
20150103;140000;1420290000;9088,36;20,2;-3,9;1
20150103;141500;1420290900;9294,96;20,2;-4,125;1
20150103;143000;1420291800;9501,55;20,2;-4,35;1
20150103;144500;1420292700;9708,15;20,2;-4,575;1
20150103;150000;1420293600;9914,75;20,2;-4,8;1
20150103;151500;1420294500;10135,2;20,25;-5,075;1
20150103;153000;1420295400;10355,6;20,3;-5,35;1
20150103;154500;1420296300;10576;20,35;-5,625;1
20150103;160000;1420297200;10796,4;20,4;-5,9;1
20150103;161500;1420298100;11203,3;20,6;-6,275;1
20150103;163000;1420299000;11610,1;20,8;-6,65;1
20150103;164500;1420299900;12017;21;-7,025;1
20150103;170000;1420300800;12423,9;21,2;-7,4;1
20150103;171500;1420301700;12512,6;21,2;-7,525;1
20150103;173000;1420302600;12601,3;21,2;-7,65;1
20150103;174500;1420303500;12690,1;21,2;-7,775;1
20150103;180000;1420304400;12778,8;21,2;-7,9;1
20150103;181500;1420305300;12802,6;21,2;-8,05;1
20150103;183000;1420306200;12826,4;21,2;-8,2;1
20150103;184500;1420307100;12850,3;21,2;-8,35;1
20150103;190000;1420308000;12874,1;21,2;-8,5;1
20150103;191500;1420308900;12942,4;21,2;-8,625;1
20150103;193000;1420309800;13010,6;21,2;-8,75;1
20150103;194500;1420310700;13078,9;21,2;-8,875;1
20150103;200000;1420311600;13147,2;21,2;-9;1
20150103;201500;1420312500;13092,1;21,2;-9,15;1
20150103;203000;1420313400;13036,9;21,2;-9,3;1
20150103;204500;1420314300;12981,8;21,2;-9,45;1
20150103;210000;1420315200;12926,7;21,2;-9,6;1
20150103;211500;1420316100;12980,8;21,2;-9,7;1
20150103;213000;1420317000;13034,9;21,2;-9,8;1
20150103;214500;1420317900;13089;21,2;-9,9;1
20150103;220000;1420318800;13143,1;21,2;-10;1
20150103;221500;1420319700;13220,1;21,1;-10,15;1
20150103;223000;1420320600;13297,1;21;-10,3;1
20150103;224500;1420321500;13374,1;20,9;-10,45;1
20150103;230000;1420322400;13451,1;20,8;-10,6;1
20150103;231500;1420323300;13437,6;20,7;-10,7;1
20150103;233000;1420324200;13424,2;20,6;-10,8;1
20150103;234500;1420325100;13410,8;20,5;-10,9;1
20150104;0;1420326000;13397,3;20,4;-11;1
20150104;1500;1420326900;13398,6;20,3;-11,075;1
20150104;3000;1420327800;13399,8;20,2;-11,15;1
20150104;4500;1420328700;13401;20,1;-11,225;1
20150104;10000;1420329600;13402,3;20;-11,3;1
20150104;11500;1420330500;13523,3;20;-11,375;1
20150104;13000;1420331400;13644,4;20;-11,45;1
20150104;14500;1420332300;13765,4;20;-11,525;1
20150104;20000;1420333200;13886,5;20;-11,6;1
20150104;21500;1420334100;13983,2;20;-11,7;1
20150104;23000;1420335000;14079,9;20;-11,8;1
20150104;24500;1420335900;14176,7;20;-11,9;1
20150104;30000;1420336800;14273,4;20;-12;1
20150104;31500;1420337700;14341,9;20;-12,05;1
20150104;33000;1420338600;14410,4;20;-12,1;1
20150104;34500;1420339500;14479;20;-12,15;1
20150104;40000;1420340400;14547,5;20;-12,2;1
20150104;41500;1420341300;14607,6;20;-12,275;1
20150104;43000;1420342200;14667,7;20;-12,35;1
20150104;44500;1420343100;14727,8;20;-12,425;1
20150104;50000;1420344000;14787,9;20;-12,5;1
20150104;51500;1420344900;14821,7;20;-12,525;1
20150104;53000;1420345800;14855,4;20;-12,55;1
20150104;54500;1420346700;14889,2;20;-12,575;1
20150104;60000;1420347600;14922,9;20;-12,6;1
20150104;61500;1420348500;14978,5;20,025;-12,675;1
20150104;63000;1420349400;15034,2;20,05;-12,75;1
20150104;64500;1420350300;15089,8;20,075;-12,825;1
20150104;70000;1420351200;15145,5;20,1;-12,9;1
20150104;71500;1420352100;15096,2;20,075;-13,025;1
20150104;73000;1420353000;15046,9;20,05;-13,15;1
20150104;74500;1420353900;14997,7;20,025;-13,275;1
20150104;80000;1420354800;14948,4;20;-13,4;1
20150104;81500;1420355700;14897,3;20,1;-13,125;1
20150104;83000;1420356600;14846,1;20,2;-12,85;1
20150104;84500;1420357500;14795;20,3;-12,575;1
20150104;90000;1420358400;14743,9;20,4;-12,3;1
20150104;91500;1420359300;14397,8;20,4;-11,875;1
20150104;93000;1420360200;14051,8;20,4;-11,45;1
20150104;94500;1420361100;13705,8;20,4;-11,025;1
20150104;100000;1420362000;13359,7;20,4;-10,6;1
20150104;101500;1420362900;13120,7;20,4;-9,925;1
20150104;103000;1420363800;12881,7;20,4;-9,25;1
20150104;104500;1420364700;12642,6;20,4;-8,575;1
20150104;110000;1420365600;12403,6;20,4;-7,9;1
20150104;111500;1420366500;12056,1;20,45;-6,85;1
20150104;113000;1420367400;11708,7;20,5;-5,8;1
20150104;114500;1420368300;11361,2;20,55;-4,75;1
20150104;120000;1420369200;11013,7;20,6;-3,7;1
20150104;121500;1420370100;10786,8;20,6;-3,925;1
20150104;123000;1420371000;10559,9;20,6;-4,15;1
20150104;124500;1420371900;10333;20,6;-4,375;1
20150104;130000;1420372800;10106,1;20,6;-4,6;1
20150104;131500;1420373700;9986,99;20,55;-4,775;1
20150104;133000;1420374600;9867,84;20,5;-4,95;1
20150104;134500;1420375500;9748,7;20,45;-5,125;1
20150104;140000;1420376400;9629,55;20,4;-5,3;1
20150104;141500;1420377300;9893,21;20,45;-5,525;1
20150104;143000;1420378200;10156,9;20,5;-5,75;1
20150104;144500;1420379100;10420,5;20,55;-5,975;1
20150104;150000;1420380000;10684,2;20,6;-6,2;1
20150104;151500;1420380900;10764,1;20,55;-6,325;1
20150104;153000;1420381800;10844,1;20,5;-6,45;1
20150104;154500;1420382700;10924;20,45;-6,575;1
20150104;160000;1420383600;11004;20,4;-6,7;1
20150104;161500;1420384500;10909,6;20,3;-6,725;1
20150104;163000;1420385400;10815,2;20,2;-6,75;1
20150104;164500;1420386300;10720,9;20,1;-6,775;1
20150104;170000;1420387200;10626,5;20;-6,8;1
20150104;171500;1420388100;10808,3;20;-6,825;1
20150104;173000;1420389000;10990;20;-6,85;1
20150104;174500;1420389900;11171,8;20;-6,875;1
20150104;180000;1420390800;11353,6;20;-6,9;1
20150104;181500;1420391700;11541,7;20,1;-6,975;1
20150104;183000;1420392600;11729,8;20,2;-7,05;1
20150104;184500;1420393500;11918;20,3;-7,125;1
20150104;190000;1420394400;12106,1;20,4;-7,2;1
20150104;191500;1420395300;12143,2;20,4;-7,4;1
20150104;193000;1420396200;12180,3;20,4;-7,6;1
20150104;194500;1420397100;12217,4;20,4;-7,8;1
20150104;200000;1420398000;12254,4;20,4;-8;1
20150104;201500;1420398900;12358,8;20,4;-8,3;1
20150104;203000;1420399800;12463,2;20,4;-8,6;1
20150104;204500;1420400700;12567,6;20,4;-8,9;1
20150104;210000;1420401600;12672;20,4;-9,2;1
20150104;211500;1420402500;12640,1;20,3;-9,35;1
20150104;213000;1420403400;12608,3;20,2;-9,5;1
20150104;214500;1420404300;12576,4;20,1;-9,65;1
20150104;220000;1420405200;12544,6;20;-9,8;1
20150104;221500;1420406100;12695,5;20;-9,825;1
20150104;223000;1420407000;12846,5;20;-9,85;1
20150104;224500;1420407900;12997,4;20;-9,875;1
20150104;230000;1420408800;13148,4;20;-9,9;1
20150104;231500;1420409700;13269,6;20;-10,125;1
20150104;233000;1420410600;13390,9;20;-10,35;1
20150104;234500;1420411500;13512,2;20;-10,575;1
20150105;0;1420412400;13633,5;20;-10,8;1
20150105;1500;1420413300;13663,1;20;-10,6;1
20150105;3000;1420414200;13692,7;20;-10,4;1
20150105;4500;1420415100;13722,4;20;-10,2;1
20150105;10000;1420416000;13752;20;-10;1
20150105;11500;1420416900;13795,2;20;-10,125;1
20150105;13000;1420417800;13838,5;20;-10,25;1
20150105;14500;1420418700;13881,7;20;-10,375;1
20150105;20000;1420419600;13925;20;-10,5;1
20150105;21500;1420420500;13964,7;20;-10,55;1
20150105;23000;1420421400;14004,4;20;-10,6;1
20150105;24500;1420422300;14044,1;20;-10,65;1
20150105;30000;1420423200;14083,8;20;-10,7;1
20150105;31500;1420424100;14109,3;20;-10,725;1
20150105;33000;1420425000;14134,8;20;-10,75;1
20150105;34500;1420425900;14160,4;20;-10,775;1
20150105;40000;1420426800;14185,9;20;-10,8;1
20150105;41500;1420427700;14237,1;20;-11;1
20150105;43000;1420428600;14288,3;20;-11,2;1
20150105;44500;1420429500;14339,6;20;-11,4;1
20150105;50000;1420430400;14390,8;20;-11,6;1
20150105;51500;1420431300;14420,3;20,025;-11,525;1
20150105;53000;1420432200;14449,8;20,05;-11,45;1
20150105;54500;1420433100;14479,3;20,075;-11,375;1
20150105;60000;1420434000;14508,9;20,1;-11,3;1
20150105;61500;1420434900;14531;20,075;-11,475;1
20150105;63000;1420435800;14553,1;20,05;-11,65;1
20150105;64500;1420436700;14575,2;20,025;-11,825;1
20150105;70000;1420437600;14597,3;20;-12;1
20150105;71500;1420438500;14605,6;20,05;-11,975;1
20150105;73000;1420439400;14613,8;20,1;-11,95;1
20150105;74500;1420440300;14622,1;20,15;-11,925;1
20150105;80000;1420441200;14630,4;20,2;-11,9;1
20150105;81500;1420442100;14457,2;20,2;-11,65;1
20150105;83000;1420443000;14283,9;20,2;-11,4;1
20150105;84500;1420443900;14110,7;20,2;-11,15;1
20150105;90000;1420444800;13937,4;20,2;-10,9;1
20150105;91500;1420445700;13699,3;20,2;-10,5;1
20150105;93000;1420446600;13461,3;20,2;-10,1;1
20150105;94500;1420447500;13223,2;20,2;-9,7;1
20150105;100000;1420448400;12985,2;20,2;-9,3;1
20150105;101500;1420449300;12473,2;20,15;-8,25;1
20150105;103000;1420450200;11961,3;20,1;-7,2;1
20150105;104500;1420451100;11449,3;20,05;-6,15;1
20150105;110000;1420452000;10937,4;20;-5,1;1
20150105;111500;1420452900;10530,3;20;-4,15;1
20150105;113000;1420453800;10123,2;20;-3,2;1
20150105;114500;1420454700;9716,06;20;-2,25;1
20150105;120000;1420455600;9308,95;20;-1,3;1
20150105;121500;1420456500;9202,42;20;-1,725;1
20150105;123000;1420457400;9095,88;20;-2,15;1
20150105;124500;1420458300;8989,35;20;-2,575;1
20150105;130000;1420459200;8882,82;20;-3;1
20150105;131500;1420460100;8834,78;20,05;-2,95;1
20150105;133000;1420461000;8786,75;20,1;-2,9;1
20150105;134500;1420461900;8738,71;20,15;-2,85;1
20150105;140000;1420462800;8690,68;20,2;-2,8;1
20150105;141500;1420463700;8855,52;20,2;-2,975;1
20150105;143000;1420464600;9020,36;20,2;-3,15;1
20150105;144500;1420465500;9185,2;20,2;-3,325;1
20150105;150000;1420466400;9350,03;20,2;-3,5;1
20150105;151500;1420467300;9605,87;20,25;-3,85;1
20150105;153000;1420468200;9861,7;20,3;-4,2;1
20150105;154500;1420469100;10117,5;20,35;-4,55;1
20150105;160000;1420470000;10373,4;20,4;-4,9;1
20150105;161500;1420470900;10750,6;20,6;-5,2;1
20150105;163000;1420471800;11127,9;20,8;-5,5;1
20150105;164500;1420472700;11505,1;21;-5,8;1
20150105;170000;1420473600;11882,4;21,2;-6,1;1
20150105;171500;1420474500;11813,6;21,2;-6,15;1
20150105;173000;1420475400;11744,9;21,2;-6,2;1
20150105;174500;1420476300;11676,2;21,2;-6,25;1
20150105;180000;1420477200;11607,4;21,2;-6,3;1
20150105;181500;1420478100;11636,8;21,2;-6,5;1
20150105;183000;1420479000;11666,2;21,2;-6,7;1
20150105;184500;1420479900;11695,6;21,2;-6,9;1
20150105;190000;1420480800;11724,9;21,2;-7,1;1
20150105;191500;1420481700;11982,1;21,3;-7,125;1
20150105;193000;1420482600;12239,2;21,4;-7,15;1
20150105;194500;1420483500;12496,4;21,5;-7,175;1
20150105;200000;1420484400;12753,5;21,6;-7,2;1
20150105;201500;1420485300;12523,1;21,4;-7,175;1
20150105;203000;1420486200;12292,7;21,2;-7,15;1
20150105;204500;1420487100;12062,3;21;-7,125;1
20150105;210000;1420488000;11831,9;20,8;-7,1;1
20150105;211500;1420488900;11889,7;20,8;-7,125;1
20150105;213000;1420489800;11947,5;20,8;-7,15;1
20150105;214500;1420490700;12005,2;20,8;-7,175;1
